name,Cardinality,DataType,AssociatedObjectClass,cyclic,Definition,Examples
cbc:DeclaredCustomsValueAmount,0..1,AmountType,,,"The total declared value for customs purposes of all the goods in this consignment, regardless of whether they are subject to the same customs procedure, tariff/statistical categorization, country information, or duty regime.",
cbc:TariffDescription,0..n,TextType,,,Text describing the tariff applied to this consignment.,
cbc:TariffCode,0..1,CodeType,,,A code signifying the tariff applied to this consignment.,
cbc:InsurancePremiumAmount,0..1,AmountType,,,The amount of the premium payable to an insurance company for insuring the goods contained in this consignment.,
cbc:GrossWeightMeasure,0..1,MeasureType,,,"The total declared weight of the goods in this consignment, including packaging but excluding the carrier's equipment.",10
cbc:NetWeightMeasure,0..1,MeasureType,,,The total net weight of all the goods items referred to as one consignment.,
cbc:NetNetWeightMeasure,0..1,MeasureType,,,"The total net weight of the goods in this consignment, exclusive of packaging.",
cbc:ChargeableWeightMeasure,0..1,MeasureType,,,The weight upon which a charge is to be based.,
cbc:GrossVolumeMeasure,0..1,MeasureType,,,The total volume of the goods referred to as one consignment.,
cbc:NetVolumeMeasure,0..1,MeasureType,,,The total net volume of all goods items referred to as one consignment.,
cbc:LoadingLengthMeasure,0..1,MeasureType,,,"The total length in a means of transport or a piece of transport equipment which, given the width and height of the transport means, will accommodate all of the consignments in a single consolidation.",
cbc:Remarks,0..n,TextType,,,"Remarks concerning the complete consignment, to be printed on the transport document.",
cbc:HazardousRiskIndicator,0..1,IndicatorType,,,An indication that the transported goods in this consignment are subject to an international regulation concerning the carriage of dangerous goods (true) or not (false).,0
cbc:AnimalFoodIndicator,0..1,IndicatorType,,,An indication that the transported goods in this consignment are animal foodstuffs (true) or not (false).,0
cbc:HumanFoodIndicator,0..1,IndicatorType,,,An indication that the transported goods in this consignment are for human consumption (true) or not (false).,0
cbc:LivestockIndicator,0..1,IndicatorType,,,An indication that the transported goods are livestock (true) or not (false).,0
cbc:BulkCargoIndicator,0..1,IndicatorType,,,An indication that the transported goods in this consignment are bulk cargoes (true) or not (false).,0
cbc:ContainerizedIndicator,0..1,IndicatorType,,,An indication that the transported goods in this consignment are containerized cargoes (true) or not (false).,0
cbc:GeneralCargoIndicator,0..1,IndicatorType,,,An indication that the transported goods in this consignment are general cargoes (true) or not (false).,0
cbc:SpecialSecurityIndicator,0..1,IndicatorType,,,An indication that the transported goods in this consignment require special security (true) or not (false).,0
cbc:ThirdPartyPayerIndicator,0..1,IndicatorType,,,An indication that this consignment will be paid for by a third party (true) or not (false).,0
cbc:CarrierServiceInstructions,0..n,TextType,,,"Service instructions to the carrier, expressed as text.",
cbc:CustomsClearanceServiceInstructions,0..n,TextType,,,"Service instructions for customs clearance, expressed as text.",
cbc:ForwarderServiceInstructions,0..n,TextType,,,"Service instructions for the forwarder, expressed as text.",
cbc:SpecialServiceInstructions,0..n,TextType,,,"Special service instructions, expressed as text.",
cbc:SequenceID,0..1,IdentifierType,,,A sequence identifier for this consignment.,
cbc:ShippingPriorityLevelCode,0..1,CodeType,,,A code signifying the priority or level of service required for this consignment.,
cbc:HandlingCode,0..1,CodeType,,,"The handling required for this consignment, expressed as a code.",
cbc:HandlingInstructions,0..n,TextType,,,"The handling required for this consignment, expressed as text.",
cbc:Information,0..n,TextType,,,"Free-form text pertinent to this consignment, conveying information that is not contained explicitly in other structures.",
cbc:TotalGoodsItemQuantity,0..1,QuantityType,,,The total number of goods items in this consignment.,
cbc:TotalTransportHandlingUnitQuantity,0..1,QuantityType,,,"The number of pieces of transport handling equipment (pallets, boxes, cases, etc.) in this consignment.",
cbc:InsuranceValueAmount,0..1,AmountType,,,The amount covered by insurance for this consignment.,
cbc:DeclaredForCarriageValueAmount,0..1,AmountType,,,"The value of this consignment, declared by the shipper or his agent solely for the purpose of varying the carrier's level of liability from that provided in the contract of carriage, in case of loss or damage to goods or delayed delivery.",
cbc:DeclaredStatisticsValueAmount,0..1,AmountType,,,"The value, declared for statistical purposes, of those goods in this consignment that have the same statistical heading.",
cbc:FreeOnBoardValueAmount,0..1,AmountType,,,The monetary amount that has to be or has been paid as calculated under the applicable trade delivery.,
cbc:SpecialInstructions,0..n,TextType,,,Special instructions relating to this consignment.,
cbc:SplitConsignmentIndicator,0..1,IndicatorType,,,An indicator that this consignment has been split in transit (true) or not (false).,1
cbc:DeliveryInstructions,0..n,TextType,,,A set of delivery instructions relating to this consignment.,
cbc:ConsignmentQuantity,0..1,QuantityType,,,"The count in this consignment considering goods items, child consignments, shipments",
cbc:ConsolidatableIndicator,0..1,IndicatorType,,,An indicator that this consignment can be consolidated (true) or not (false).,0
cbc:HaulageInstructions,0..n,TextType,,,"Instructions regarding haulage of this consignment, expressed as text.",
cbc:LoadingSequenceID,0..1,IdentifierType,,,An identifier for the loading sequence of this consignment.,
cbc:ChildConsignmentQuantity,0..1,QuantityType,,,The quantity of (consolidated) child consignments,
cbc:TotalPackagesQuantity,0..1,QuantityType,,,The total number of packages associated with a Consignment.,
cac:ConsolidatedShipment,0..n,,Shipment,,A consolidated shipment (a shipment created by an act of consolidation).,
cac:CustomsDeclaration,0..n,,CustomsDeclaration,,A class describing identifiers or references relating to customs procedures.,
cac:RequestedPickupTransportEvent,0..1,,TransportEvent,,The pickup of this consignment requested by the party requesting a transportation service (the transport user).,
cac:RequestedDeliveryTransportEvent,0..1,,TransportEvent,,The delivery of this consignment requested by the party requesting a transportation service (the transport user).,
cac:PlannedPickupTransportEvent,0..1,,TransportEvent,,The pickup of this consignment planned by the party responsible for providing the transportation service (the transport service provider).,
cac:PlannedDeliveryTransportEvent,0..1,,TransportEvent,,The delivery of this consignment planned by the party responsible for providing the transportation service (the transport service provider).,
cac:Status,0..n,,Status,,The status of a particular condition associated with this consignment.,
cac:ChildConsignment,0..n,,Consignment,x,One of the child consignments of which a consolidated consignment is composed.,
cac:ConsigneeParty,0..1,,Party,,A party to which goods are consigned.,
cac:ExporterParty,0..1,,Party,,"The party that makes the export declaration, or on behalf of which the export declaration is made, and that is the owner of the goods in this consignment or has similar right of disposal over them at the time when the declaration is accepted.",
cac:ConsignorParty,0..1,,Party,,"The party consigning goods, as stipulated in the transport contract by the party ordering transport.",
cac:ImporterParty,0..1,,Party,,"The party that makes an import declaration regarding this consignment, or on behalf of which a customs clearing agent or other authorized person makes an import declaration regarding this consignment. This may include a person who has possession of the goods or to whom the goods are consigned.",
cac:CarrierParty,0..1,,Party,,The party providing the transport of goods in this consignment between named points.,
cac:FreightForwarderParty,0..1,,Party,,"The party combining individual smaller consignments into a single larger shipment (the consolidated shipment), which is sent to a counterpart that mirrors the consolidator's activity by dividing the consolidated consignment into its original components.",
cac:NotifyParty,0..1,,Party,,The party to be notified upon arrival of goods and when special occurrences (usually pre-defined) take place during a transportation service.,
cac:OriginalDespatchParty,0..1,,Party,,The original despatch (sender) party for this consignment.,
cac:FinalDeliveryParty,0..1,,Party,,The final delivery party for this consignment.,
cac:PerformingCarrierParty,0..1,,Party,,The party performing the carriage of this consignment.,
cac:SubstituteCarrierParty,0..1,,Party,,A substitute party performing the carriage of this consignment.,
cac:LogisticsOperatorParty,0..1,,Party,,The logistics operator party for this consignment.,
cac:TransportAdvisorParty,0..1,,Party,,The party providing transport advice this consignment.,
cac:HazardousItemNotificationParty,0..1,,Party,,The party that would be notified of a hazardous item in this consignment.,
cac:InsuranceParty,0..1,,Party,,The party holding the insurance for this consignment.,
cac:MortgageHolderParty,0..1,,Party,,The party holding the mortgage for this consignment.,
cac:BillOfLadingHolderParty,0..1,,Party,,The party holding the bill of lading for this consignment.,
cac:OriginalDepartureCountry,0..1,,Country,,"The country from which the goods in this consignment were originally exported, without any commercial transaction taking place in intermediate countries.",
cac:FinalDestinationCountry,0..1,,Country,,The country in which the goods in this consignment are to be delivered to the final consignee or buyer.,
